 word                frequency
-----------------------------------
 a                   16331
 aaron               97
 abaissiez           1
 abandon             10
 abandoned           2
 abandoner           1
 abase               2
 abash               1
 abate               15
 abated              3
 abatement           4
 abatements          1
 abates              1
 abbess              26
 abbey               20
 abbeys              1
 abbominable         1
 abbot               9
 abbots              1
 abbreviated         1
 abed                8
 abel                2
 aberga              2
 abergavenny         8
 abet                1
 abetting            1
 abettor             1
 abhominable         1
 abhor               23
 abhorr              12
 abhorred            10
 abhorring           2
 abhors              4
 abhorson            21
 abide               42
 abides              8
 abilities           5
 ability             10
 abject              11
 abjectly            1
 abjects             2
 abjur               2
 abjure              4
 able                65
 abler               1
 ablest              1
 aboard              35
 abode               9
 aboded              1
 abodements          1
 aboding             1
 abominable          15
 abominably          1
 abomination         2
 abominations        2
 aborne              1
 abortive            4
 abortives           1
 abound              8
 abounding           1
 about               438
 above               157
 abraham             5
 abram               10
 abreast             3
 abridg              2
 abridge             2
 abridgement         4
 abridgment          1
 abroach             3
 abroad              65
 abroade             2
 abrogate            1
 abrook              1
 abrupt              1
 abruption           1
 abruptly            1
 absence             57
 absent              35
 absey               1
 absolute            34
 absolutely          2
 absolution          1
 absolv              3
 absolver            1
 abstaining          1
 abstains            1
 abstayning          1
 abstemious          1
 abstinence          5
 abstract            5
 abstracts           1
 absurd              4
 absyrtus            1
 abundance           14
 abundant            4
 abundantly          1
 abus                31
 abuse               56
 abused              16
 abuser              1
 abuses              14
 abusing             4
 abuts               1
 abutting            1
 aby                 2
 abysm               3
 academe             1
 academes            2
 accent              17
 accents             8
 accept              33
 acceptable          1
 acceptance          10
 accepted            5
 accepting           1
 accepts             2
 access              33
 accessary           4
 accessed            1
 accessible          2
 accessory           1
 accidence           1
 accident            23
 accidental          4
 accidentally        3
 accidents           14
 accite              1
 accited             1
 accites             1
 acclamation         1
 acclamations        1
 accommodate         1
 accommodated        7
 accommodation       1
 accommodations      1
 accommodo           1
 accompanied         12
 accompany           8
 accompanying        1
 accomplices         1
 accomplish          11
 accomplished        4
 accomplishing       1
 accomplishment      2
 accompt             4
 accord              10
 accordance          2
 accordant           1
 accorded            1
 accordeth           1
 according           46
 accordingly         10
 accords             3
 accost              6
 accosted            1
 account             49
 accountant          2
 accounted           8
 accounts            4
 accoutered          1
 accoutred           1
 accoutrement        2
 accoutrements       2
 accrue              1
 accumulate          2
 accumulated         1
 accumulation        1
 accurs              13
 accursed            17
 accurst             6
 accus               20
 accusation          13
 accusations         6
 accusative          1
 accusativo          2
 accuse              39
 accused             5
 accuser             3
 accusers            6
 accuses             2
